Frame,Tempo (s),Olhar
1,0.033,CENTRO
2,0.067,CENTRO
3,0.1,CENTRO
4,0.133,CENTRO
5,0.167,CENTRO
6,0.2,CENTRO
7,0.233,CENTRO
8,0.267,CENTRO
9,0.3,CENTRO
10,0.333,CENTRO
11,0.367,CENTRO
12,0.4,CENTRO
13,0.433,CENTRO
14,0.467,CENTRO
15,0.5,CENTRO
16,0.533,CENTRO
17,0.567,CENTRO
18,0.6,CENTRO
19,0.633,CENTRO
20,0.667,CENTRO
21,0.7,CENTRO
22,0.733,CENTRO
23,0.767,CENTRO
24,0.8,CENTRO
25,0.833,CENTRO
26,0.867,CENTRO
27,0.9,CENTRO
28,0.933,CENTRO
29,0.967,CENTRO
30,1.0,CENTRO
31,1.033,CENTRO
32,1.067,CENTRO
33,1.1,CENTRO
34,1.133,CENTRO
35,1.167,CENTRO
36,1.2,CENTRO
37,1.233,CENTRO
38,1.267,CENTRO
39,1.3,CENTRO
40,1.333,CENTRO
41,1.367,CENTRO
42,1.4,CENTRO
43,1.433,CENTRO
44,1.467,CENTRO
45,1.5,CENTRO
46,1.533,CENTRO
47,1.567,CENTRO
48,1.6,CENTRO
49,1.633,CENTRO
50,1.667,CENTRO
51,1.7,CENTRO
52,1.733,CENTRO
53,1.767,CENTRO
54,1.8,CENTRO
55,1.833,CENTRO
56,1.867,CENTRO
57,1.9,CENTRO
58,1.933,CENTRO
59,1.967,CENTRO
60,2.0,CENTRO
61,2.033,CENTRO
62,2.067,CENTRO
63,2.1,CENTRO
64,2.133,CENTRO
65,2.167,CENTRO
66,2.2,CENTRO
67,2.233,CENTRO
68,2.267,CENTRO
69,2.3,CENTRO
70,2.333,CENTRO
71,2.367,CENTRO
72,2.4,CENTRO
73,2.433,CENTRO
74,2.467,CENTRO
75,2.5,CENTRO
76,2.533,CENTRO
77,2.567,CENTRO
78,2.6,CENTRO
79,2.633,CENTRO
80,2.667,CENTRO
81,2.7,CENTRO
82,2.733,CENTRO
83,2.767,CENTRO
84,2.8,CENTRO
85,2.833,CENTRO
86,2.867,CENTRO
87,2.9,CENTRO
88,2.933,CENTRO
89,2.967,CENTRO
90,3.0,CENTRO
91,3.033,CENTRO
92,3.067,CENTRO
93,3.1,ESQUERDA
94,3.133,ESQUERDA
95,3.167,ESQUERDA
96,3.2,ESQUERDA
97,3.233,ESQUERDA
98,3.267,ESQUERDA
99,3.3,ESQUERDA
100,3.333,ESQUERDA
101,3.367,ESQUERDA
102,3.4,ESQUERDA
103,3.433,ESQUERDA
104,3.467,ESQUERDA
105,3.5,ESQUERDA
106,3.533,ESQUERDA
107,3.567,ESQUERDA
108,3.6,ESQUERDA
109,3.633,ESQUERDA
110,3.667,ESQUERDA
111,3.7,ESQUERDA
112,3.733,ESQUERDA
113,3.767,ESQUERDA
114,3.8,ESQUERDA
115,3.833,ESQUERDA
116,3.867,ESQUERDA
117,3.9,ESQUERDA
118,3.933,ESQUERDA
119,3.967,ESQUERDA
120,4.0,ESQUERDA
121,4.033,ESQUERDA
122,4.067,ESQUERDA
123,4.1,ESQUERDA
124,4.133,ESQUERDA
125,4.167,ESQUERDA
126,4.2,ESQUERDA
127,4.233,ESQUERDA
128,4.267,ESQUERDA
129,4.3,ESQUERDA
130,4.333,ESQUERDA
131,4.367,ESQUERDA
132,4.4,ESQUERDA
133,4.433,ESQUERDA
134,4.467,ESQUERDA
135,4.5,ESQUERDA
136,4.533,ESQUERDA
137,4.567,ESQUERDA
138,4.6,ESQUERDA
139,4.633,ESQUERDA
140,4.667,ESQUERDA
141,4.7,ESQUERDA
142,4.733,ESQUERDA
143,4.767,ESQUERDA
144,4.8,ESQUERDA
145,4.833,ESQUERDA
146,4.867,ESQUERDA
147,4.9,ESQUERDA
148,4.933,ESQUERDA
149,4.967,ESQUERDA
150,5.0,ESQUERDA
151,5.033,CENTRO
152,5.067,CENTRO
153,5.1,CENTRO
154,5.133,CENTRO
155,5.167,CENTRO
156,5.2,CENTRO
157,5.233,CENTRO
158,5.267,CENTRO
159,5.3,CENTRO
160,5.333,CENTRO
161,5.367,CENTRO
162,5.4,CENTRO
163,5.433,CENTRO
164,5.467,CENTRO
165,5.5,CENTRO
166,5.533,CENTRO
167,5.567,CENTRO
168,5.6,CENTRO
169,5.633,CENTRO
170,5.667,CENTRO
171,5.7,CENTRO
